real12,pred12,real3,pred3
64.666664,66.42871,0.0,66.39216
67.0,66.097244,0.0,66.318634
67.28571,65.65361,0.0,65.91728
66.125,65.28514,0.0,65.33142
65.0,65.041084,0.0,65.02129
66.0,64.75176,0.0,64.63036
64.666664,64.72124,0.0,64.531975
66.75,64.279396,66.25,64.11608
68.111115,64.50979,65.5,64.245415
67.25,64.23496,64.666664,63.865135
66.5,65.126564,67.0,65.24182
63.555557,65.51726,67.28571,65.541756
66.625,65.04903,66.125,65.13433
67.5,65.679436,65.0,65.72279
68.125,66.178024,66.0,66.218155
67.0,66.2005,64.666664,66.18561
66.75,65.974106,66.75,65.93211
65.625,66.09335,68.111115,66.07312
66.71429,65.82581,67.25,65.76705
64.375,65.95482,66.5,65.96415
68.44444,66.37676,63.555557,66.38081
68.14286,66.61167,66.625,66.5919
67.375,66.72897,67.5,66.659134
67.57143,66.27291,68.125,66.16576
67.111115,66.428894,67.0,66.40896
67.125,66.66856,66.75,66.6372
67.55556,66.92688,65.625,66.87569
67.625,67.13547,66.71429,67.05217
67.25,67.17291,64.375,67.1142
68.75,66.96408,68.44444,66.89672
68.25,67.06181,68.14286,67.02887
68.111115,66.6905,67.375,66.56735
66.5,66.88869,67.57143,66.87375
67.625,67.29273,67.111115,67.22206
67.0,67.42655,67.125,67.333885
68.125,67.562386,67.55556,67.49811
68.125,67.59765,67.625,67.54719
69.875,67.51458,67.25,67.458885
68.111115,67.44258,68.75,67.39415
68.25,67.51191,68.25,67.46518
69.0,67.536095,68.111115,67.484665
69.666664,67.81283,66.5,67.77758
69.0,67.93677,67.625,67.88741
67.77778,68.059425,67.0,68.02585
67.25,67.86921,68.125,67.790436
68.125,67.80999,68.125,67.760704
69.77778,67.73479,69.875,67.678024
69.75,67.79489,68.111115,67.75734
68.77778,67.90428,68.25,67.87576
67.625,68.22498,69.0,68.21125
69.77778,68.32834,69.666664,68.2706
68.875,68.28967,69.0,68.25729
69.625,68.39593,67.77778,68.37169
69.5,68.51019,67.25,68.51578
68.625,68.61333,68.125,68.613914
69.5,68.552376,69.77778,68.49178
68.888885,68.41066,69.75,68.35776
68.875,68.36119,68.77778,68.35206
69.375,68.60684,67.625,68.6176
68.55556,68.805,69.77778,68.803925
69.25,68.83211,68.875,68.82325
69.666664,68.63675,69.625,68.62274
68.25,68.83675,69.5,68.83995
68.875,68.8555,68.625,68.844604
69.0,68.93577,69.5,68.92252
69.375,68.95787,68.888885,68.93498
68.125,68.921555,68.875,68.89658
68.75,69.02074,69.375,69.00936
69.375,68.977234,68.55556,68.98624
69.0,68.93536,69.25,68.95672
69.5,68.95244,69.666664,68.97432
69.0,68.83518,68.25,68.861496
68.111115,68.88072,68.875,68.91527
68.375,68.98979,69.0,69.02074
68.25,68.84538,69.375,68.8716
67.75,68.80902,68.125,68.852234
67.75,68.77347,68.75,68.8221
68.111115,68.853424,69.375,68.887596
69.375,68.716736,69.0,68.756546
69.111115,68.6631,69.5,68.7056
69.375,68.74354,69.0,68.79092
68.625,68.76005,68.111115,68.80076
68.888885,68.88073,68.375,68.89241
67.625,68.85058,68.25,68.87083
66.888885,68.717094,67.75,68.736694
68.25,68.6454,67.75,68.65563
66.8,68.5562,68.111115,68.57605
67.85714,68.41062,69.375,68.43319
68.77778,68.329025,69.111115,68.28408
66.888885,68.2199,69.375,68.23485
67.75,68.4193,68.625,68.47366
68.111115,68.530685,68.888885,68.566086
69.28571,68.66867,67.625,68.66572
68.125,68.66155,66.888885,68.63969
68.5,68.695335,68.25,68.661476
67.75,68.578,66.8,68.5054
68.333336,68.33263,67.85714,68.25743
68.5,68.28097,68.77778,68.258354
68.77778,68.04778,66.888885,68.036224
68.875,68.00992,67.75,68.026794
68.875,68.18015,68.111115,68.20969
67.666664,67.95982,69.28571,67.98887
68.0,67.97724,68.125,67.95619
68.44444,67.96875,68.5,67.95051
68.875,68.0679,67.75,68.08131
66.22222,68.08075,68.333336,68.07008
59.625,68.09999,68.5,68.08702
58.875,68.12136,68.77778,68.09328
68.44444,68.169685,68.875,68.168076
65.75,68.20228,68.875,68.19512
68.55556,68.30451,67.666664,68.311005
64.5,68.41683,68.0,68.416885
67.22222,68.47447,68.44444,68.46661
68.875,68.419846,68.875,68.40595
66.625,68.36377,66.22222,68.37112
67.666664,68.35301,59.625,68.36698
67.125,68.39097,58.875,68.41094
66.875,68.08699,68.44444,68.10882
67.888885,67.79451,65.75,67.92226
66.44444,67.72029,68.55556,66.93381
67.625,67.62315,64.5,67.75602
59.88889,67.15915,67.22222,67.37985
69.875,67.270645,68.875,67.469986
65.75,66.67278,66.625,66.881966
66.375,66.63846,67.666664,66.925156
67.22222,66.81592,67.125,67.05115
66.888885,66.58084,66.875,66.77601
65.625,66.99462,67.888885,67.045
67.0,67.255196,66.44444,67.2488
65.375,67.00373,67.625,67.05641
68.625,67.04346,59.88889,67.15173
66.666664,66.80124,69.875,67.00778
67.25,66.91666,65.75,67.08003
68.22222,66.99714,66.375,67.215256
69.75,67.12268,67.22222,67.42605
69.5,66.837,66.888885,67.20194
68.625,66.53196,65.625,66.88751
66.5,66.21446,67.0,67.03121
65.55556,66.14655,65.375,66.8722
67.875,65.812325,68.625,66.58801
68.125,65.87885,66.666664,66.480545
65.125,65.68625,67.25,66.278404
67.22222,65.98994,68.22222,66.291
65.0,66.19383,69.75,66.38676
68.0,66.21136,69.5,66.34188
63.375,66.534546,68.625,66.70815
67.625,66.979996,66.5,67.091576
66.125,67.391075,65.55556,67.51019
65.666664,67.81947,67.875,67.85706
68.85714,67.42343,68.125,67.533585
67.5,66.97503,65.125,67.19461
64.333336,67.134995,67.22222,67.33269
63.375,67.25566,65.0,67.47274
67.14286,66.859276,68.0,67.35953
68.25,66.6311,63.375,67.11059
67.25,66.28672,67.625,67.00755
63.625,66.34075,66.125,66.93157
65.625,65.93236,65.666664,66.68405
62.88889,65.421844,68.85714,66.12401
63.88889,65.492096,67.5,66.1729
64.71429,65.092255,64.333336,65.8051
64.5,65.42987,63.375,66.00327
59.625,65.774704,67.14286,66.23086
60.88889,65.24651,68.25,65.855354
65.125,64.51549,67.25,65.31411
68.55556,64.81182,63.625,65.47428
63.875,65.0918,65.625,65.77716
66.625,65.53083,62.88889,66.0567
69.75,65.05809,63.88889,65.68543
68.55556,64.9733,64.71429,65.74949
68.0,64.28252,64.5,65.29189
64.5,63.86012,59.625,64.90451
59.333332,63.688316,60.88889,64.70336
64.111115,63.648037,65.125,64.44997
56.25,63.185596,68.55556,63.846718
68.25,62.91032,63.875,63.32783
66.888885,63.10243,66.625,63.543137
64.625,63.77679,69.75,63.893997
65.55556,63.634182,68.55556,63.776028
65.375,64.23546,68.0,64.186485
62.11111,64.983444,64.5,65.02937
64.25,64.988205,59.333332,65.06626
57.77778,65.65303,64.111115,65.83555
64.625,65.6081,56.25,65.57739
60.77778,65.22879,68.25,64.85457
62.375,65.47071,66.888885,64.98223
65.55556,64.93663,64.625,64.36725
64.5,65.57071,65.55556,65.25633
66.0,65.98996,65.375,65.77749
65.125,66.16876,62.11111,65.79974
68.42857,66.487946,64.25,65.86947
68.0,66.597404,57.77778,65.70829
68.22222,66.13004,64.625,65.2613
67.875,65.90443,60.77778,65.07368
65.25,64.989944,62.375,64.22188
65.22222,65.2431,65.55556,64.541
66.25,64.97704,64.5,64.24753
67.125,64.86293,66.0,64.00396
68.55556,65.348625,65.125,64.41681
64.625,65.61023,68.42857,64.770035
64.625,65.75019,68.0,65.25032
65.22222,65.815094,68.22222,65.39429
59.75,66.740845,67.875,66.03125
65.71429,67.19629,65.25,66.51329
66.75,67.506516,65.22222,67.10806
68.44444,67.5936,66.25,67.37276
69.125,67.42378,67.125,67.20251
68.55556,67.18494,68.55556,66.94281
66.625,67.14022,64.625,66.98425
67.75,67.201546,64.625,67.17502
67.625,67.720856,65.22222,67.68846
66.888885,67.481964,59.75,67.29083
66.75,67.06709,65.71429,66.958206
67.44444,66.870514,66.75,66.770676
67.875,49.966187,68.44444,58.250847
68.25,66.30796,69.125,66.12169
66.111115,66.399605,68.55556,66.24582
68.25,66.96784,66.625,66.83559
66.888885,67.45337,67.75,67.45448
68.22222,67.736725,67.625,67.82776
67.75,67.692444,66.888885,67.61751
69.333336,67.58056,66.75,67.60145
68.125,67.5475,67.44444,67.60712
67.55556,67.69842,67.875,67.55272
66.875,67.42822,68.25,67.35991
66.77778,67.28614,66.111115,67.304344
65.875,67.3458,68.25,67.41125
66.375,67.49976,66.888885,67.60539
67.55556,66.99431,68.22222,67.20915
65.44444,67.51302,67.75,67.55047
67.666664,67.145676,69.333336,67.23834
64.75,67.339874,68.125,67.41055
64.625,67.39849,67.55556,67.46692
66.75,67.7472,66.875,67.76924
64.666664,67.84376,66.77778,67.853935
58.22222,67.7051,65.875,67.73005
66.5,67.59185,66.375,67.58967
66.333336,67.41926,67.55556,67.445564
64.125,66.97019,65.44444,67.0358
67.625,66.70533,67.666664,66.84501
64.833336,66.76138,64.75,66.97657
0.0,66.37694,64.625,66.56174
0.0,66.6194,66.75,66.820694
0.0,66.140564,64.666664,66.29867
0.0,65.77168,58.22222,65.82004
0.0,65.850586,66.5,66.06186
0.0,65.378555,66.333336,65.654274
0.0,65.085625,64.125,65.09464
0.0,65.28319,67.625,65.67481
0.0,65.18724,64.833336,65.491905
0.0,65.10807,0.0,65.23686
65.75,65.53531,0.0,65.66102
66.875,65.21251,0.0,65.40004
65.0,64.900696,0.0,65.215546
60.0,64.65741,0.0,64.85603
66.375,64.12047,0.0,64.37259
66.166664,64.48266,0.0,64.528
66.666664,64.06918,0.0,64.073166
65.125,63.459457,0.0,63.449036
66.14286,64.107544,0.0,64.06753
65.55556,64.38208,65.75,64.30984
61.0,64.90153,66.875,64.66541
64.875,65.664604,65.0,65.292595
67.111115,64.70571,60.0,64.73417
66.25,66.14012,66.375,66.21094
66.77778,65.50566,66.166664,65.628235
65.375,64.30885,66.666664,64.27658
65.55556,65.39427,65.125,65.44716
64.875,65.474144,66.14286,65.5299
56.22222,65.795074,65.55556,65.835304
65.0,65.66107,61.0,65.64397
63.444443,65.7715,64.875,65.75399
65.0,65.763016,67.111115,65.76003
67.77778,65.25316,66.25,65.18086
65.875,65.386925,66.77778,65.40584
66.875,65.68045,65.375,65.69963
65.22222,65.795395,65.55556,65.80615
65.625,65.94926,64.875,65.960655
67.0,66.00143,56.22222,65.98462
63.333332,65.87341,65.0,65.86178
67.0,65.699524,63.444443,65.652374
66.875,65.228676,65.0,65.14384
67.25,65.37927,67.77778,65.360725
66.75,64.95411,65.875,64.95618
66.25,65.007774,66.875,65.01182
65.666664,65.34752,65.22222,65.538155
66.25,65.641846,65.625,65.742546
67.5,65.74809,67.0,65.84237
64.875,65.6638,63.333332,65.67956
65.666664,65.617874,67.0,65.6308
65.333336,65.85103,66.875,65.86086
66.8,65.4777,67.25,65.400505
62.0,65.77227,66.75,65.76834
0.0,66.16932,66.25,66.15362
0.0,66.34427,65.666664,66.338135
0.0,66.614265,66.25,66.58302
0.0,66.68695,67.5,66.64376
0.0,66.5089,64.875,66.44161
0.0,66.45902,65.666664,66.39934
0.0,66.52051,65.333336,66.51415
0.0,66.45131,66.8,66.37736
0.0,66.39671,62.0,66.33648
68.0,66.20125,0.0,66.13895
66.6,66.368324,0.0,66.35994
68.25,65.68787,0.0,65.613365
67.75,65.584015,0.0,65.63548
68.5,65.05645,0.0,65.02396
68.375,64.77975,0.0,64.156494
67.875,64.10185,0.0,63.946175
66.0,64.18913,0.0,63.77135
68.875,63.82721,0.0,63.272366
69.333336,62.635483,68.0,62.119072
67.375,62.741165,66.6,62.428917
69.0,63.00905,68.25,62.628635
67.75,65.93671,67.75,66.11253
67.0,66.521515,68.5,66.612656
68.0,67.35845,68.375,67.46161
69.0,67.53672,67.875,67.531044
66.5,67.90372,66.0,67.91354
69.111115,68.03174,68.875,68.02992
68.666664,68.00963,69.333336,67.9917
68.75,67.79962,67.375,67.75084
67.5,67.96919,69.0,67.954895
67.0,68.2077,67.75,68.17373
68.888885,68.23919,67.0,68.17719
67.375,68.37081,68.0,68.33214
68.0,68.30349,69.0,68.25633
68.75,68.28905,66.5,68.236084
68.44444,68.2162,69.111115,68.18857
68.625,68.334595,68.666664,68.310425
68.5,68.12303,68.75,68.068825
68.44444,68.2947,67.5,68.26663
69.22222,68.36669,67.0,68.32499
67.875,68.540344,68.888885,68.519394
69.875,68.40816,67.375,68.357956
59.625,68.21106,68.0,68.15076
69.55556,68.29692,68.75,68.28679
68.75,68.15555,68.44444,68.11333
69.375,68.1911,68.625,68.152214
68.75,68.30515,68.5,68.29618
68.375,68.34527,68.44444,68.32918
69.0,68.37522,69.22222,68.3636
68.75,68.40053,67.875,68.3952
69.0,68.39123,69.875,68.3742
68.75,68.500885,59.625,68.479195
69.75,68.43119,69.55556,68.37401
68.333336,68.640594,68.75,68.626434
69.0,68.37998,69.375,68.48158
69.375,68.77788,68.75,68.78261
69.0,68.807236,68.375,68.79776
68.44444,68.92421,69.0,68.94446
69.75,68.89352,68.75,68.90978
69.0,68.781456,69.0,68.78614
68.625,68.79633,68.75,68.822266
68.25,68.72138,69.75,68.74106
67.125,68.72771,68.333336,68.7538
69.55556,68.69582,69.0,68.73129
68.888885,68.85427,69.375,68.86294
67.57143,68.720924,69.0,68.71115
67.55556,68.76845,68.44444,68.798615
68.44444,68.8186,69.75,68.84293
68.25,68.83053,69.0,68.850716
69.5,68.74913,68.625,68.770744
69.375,68.87577,68.25,68.89551
69.666664,68.853,67.125,68.87567
67.5,68.80644,69.55556,68.83304
68.25,68.67801,68.888885,68.710526
68.625,68.45796,67.57143,68.40066
69.333336,68.5633,67.55556,68.62149
66.625,68.56559,68.44444,68.62202
68.22222,68.418625,68.25,68.46406
67.75,68.293785,69.5,68.29427
68.333336,68.25402,69.375,68.29562
68.25,68.24174,69.666664,68.29
67.625,68.447235,67.5,68.47898
67.77778,68.551346,68.25,68.542
67.875,68.72551,68.625,68.69732
67.111115,68.591225,69.333336,68.539856
67.125,68.56579,66.625,68.51171
69.375,68.569595,68.22222,68.55135
67.375,68.641785,67.75,68.636765
67.666664,68.39871,68.333336,68.36954
68.0,68.331924,68.25,68.33553
67.875,68.25594,67.625,68.27904
67.55556,68.287056,67.77778,68.32771
67.875,68.29899,67.875,68.3144
67.55556,68.156784,67.111115,68.16023
66.85714,68.103134,67.125,68.08847
65.125,68.07974,69.375,68.04587
67.55556,67.960526,67.375,67.910545
68.875,67.83359,67.666664,67.77778
67.0,68.043,68.0,68.04034
68.22222,67.9149,67.875,67.907524
68.875,67.93528,67.55556,67.9031
66.55556,67.912056,67.875,67.8953
64.42857,67.86953,67.55556,67.8905
68.25,67.83004,66.85714,67.84113
68.55556,67.78966,65.125,67.808685
59.25,67.76484,67.55556,67.781624
67.22222,67.6583,68.875,67.66572
64.625,67.27907,67.0,67.22439
68.375,67.247314,68.22222,67.29499
69.111115,67.5809,68.875,67.66129
67.77778,67.42906,66.55556,67.50101
64.875,67.52161,64.42857,67.586525
67.375,67.69354,68.25,67.744514
68.125,67.4851,68.55556,67.55865
64.0,66.84615,59.25,67.00767
67.5,66.9718,67.22222,67.11726
67.875,67.26124,64.625,67.39075
66.77778,67.06923,68.375,67.317276
67.75,67.013374,69.111115,67.280235
67.625,66.50979,67.77778,66.82008
65.625,66.80303,64.875,67.113625
64.666664,67.15846,67.375,67.338745
67.25,67.349045,68.125,67.5066
67.77778,66.69229,64.0,66.96093
65.44444,66.78286,67.5,66.978455
68.125,66.981995,67.875,67.19687
68.625,66.242455,66.77778,66.65097
65.75,66.36841,67.75,66.678764
69.25,66.73725,67.625,67.00322
64.0,66.68632,65.625,67.05513
66.111115,66.817566,64.666664,67.12632
68.75,66.83511,67.25,67.2073
67.25,66.32447,67.77778,67.03018
63.444443,65.68802,65.44444,66.32055
64.375,65.86105,68.125,66.3037
61.75,66.17246,68.625,66.52949
64.0,65.8578,65.75,66.30074
68.0,66.03468,69.25,66.33131
66.625,66.47518,64.0,66.719505
66.25,66.1399,66.111115,66.51805
63.22222,66.56239,68.75,66.752365
64.5,66.03513,67.25,66.40349
64.22222,65.58898,63.444443,66.136826
67.375,66.072105,64.375,66.51328
62.625,66.04135,61.75,66.53141
58.666668,65.6772,64.0,66.480644
59.375,65.1573,68.0,66.065544
68.0,64.39129,66.625,65.473595
66.28571,63.753654,66.25,64.890366
64.25,64.09311,63.22222,65.04657
66.375,64.47382,64.5,65.25751
62.666668,64.69516,64.22222,65.438446
64.666664,63.917274,67.375,64.827705
67.25,63.708893,62.625,64.739944
58.555557,63.52104,58.666668,64.51467
63.25,63.651405,59.375,64.44365
66.0,63.460278,68.0,64.208244
61.625,62.764786,66.28571,63.644245
59.88889,61.808067,64.25,62.890507
69.875,62.72642,66.375,63.823677
58.25,63.371403,62.666668,64.209
50.666668,63.12036,64.666664,63.90733
65.625,63.44069,67.25,64.168465
64.55556,62.999046,58.555557,63.855225
62.666668,62.934036,63.25,63.80748
60.375,63.569847,66.0,64.26287
63.125,62.89478,61.625,63.45691
65.4,62.815983,59.88889,63.402386
60.555557,63.363285,69.875,63.936306
59.875,63.198166,58.25,63.71863
50.25,62.849438,50.666668,63.427307
59.555557,63.46423,65.625,63.767975
60.375,62.998188,64.55556,63.252827
68.22222,61.73076,62.666668,61.776802
59.875,62.203625,60.375,61.995968
64.55556,62.377697,63.125,62.308937
64.875,62.719,65.4,62.54873
66.44444,63.179398,60.555557,62.423405
69.85714,63.66268,59.875,62.831753
66.375,63.987392,50.25,63.18242
68.625,64.0645,59.555557,62.852722
65.25,64.04469,60.375,62.991524
62.5,61.95426,68.22222,61.39275
65.125,62.388447,59.875,61.319862
66.875,62.422394,64.55556,61.325687
66.22222,64.16833,64.875,62.4486
66.875,63.906746,66.44444,62.579716
65.0,64.409225,69.85714,62.849342
68.888885,64.918274,66.375,63.54104
66.875,65.942825,68.625,64.484726
66.333336,66.41373,65.25,65.11982
66.75,66.86638,62.5,65.54215
68.375,67.21978,65.125,66.31316
67.125,67.15507,66.875,65.98754
66.888885,67.02469,66.22222,65.842514
68.22222,67.17663,66.875,66.17499
67.25,67.29821,65.0,66.5662
66.875,67.36615,68.888885,66.65309
69.111115,67.40432,66.875,67.029205
68.5,67.24809,66.333336,66.80046
67.375,67.77348,66.75,67.32538
67.888885,67.64455,68.375,67.37547
66.125,67.493164,67.125,67.252205
67.25,67.248634,66.888885,67.18801
68.22222,67.46293,68.22222,67.4952
68.375,67.56292,67.25,67.577034
67.22222,67.01303,66.875,67.3595
68.25,67.47049,69.111115,67.56358
68.0,67.40903,68.5,67.6319
67.0,66.7295,67.375,67.415375
67.25,67.73735,67.888885,67.83373
68.5,67.79892,66.125,67.96901
68.55556,67.58991,67.25,67.90472
68.44444,67.51487,68.22222,67.91152
68.375,66.80008,68.375,67.43055
67.0,67.06624,67.22222,67.430916
68.25,67.49211,68.25,67.64989
67.25,67.814285,68.0,67.826096
67.875,67.34691,67.0,67.62578
68.111115,67.68155,67.25,67.79071
67.75,67.717316,68.5,67.8251
67.55556,67.63513,68.55556,67.66771
68.44444,67.54879,68.44444,67.57394
67.375,67.62173,68.375,67.66389
66.77778,67.760544,67.0,67.81029
68.25,67.87781,68.25,67.959625
68.125,67.977615,67.25,68.043396
65.888885,67.78714,67.875,67.81041
66.875,67.91393,68.111115,67.93103
65.888885,67.712524,67.75,67.72244
65.5,67.70297,67.55556,67.727066
65.44444,67.71941,68.44444,67.75418
66.125,67.65192,67.375,67.701416
66.125,67.58513,66.77778,67.64738
67.55556,67.72029,68.25,67.80116
65.77778,67.55632,68.125,67.63745
66.625,67.37502,65.888885,67.41456
66.125,67.47436,66.875,67.54439
65.22222,67.507126,65.888885,67.5948
66.5,67.16884,65.5,67.21319
66.77778,67.13242,65.44444,67.14904
64.375,66.73259,66.125,66.82599
66.125,66.40622,66.125,66.48189
66.666664,66.09683,67.55556,66.20785
67.25,65.98106,65.77778,66.17034
65.25,65.87085,66.625,66.08681
58.0,66.073746,66.125,66.290085
65.77778,65.94882,65.22222,66.12797
64.5,66.079254,66.5,66.21468
65.25,65.89976,66.77778,66.08567
67.5,65.686806,64.375,65.82381
64.666664,65.83094,66.125,65.97778
65.25,65.940956,66.666664,66.09471
65.888885,65.664734,67.25,65.695274
64.75,65.78106,65.25,65.82726
66.125,65.87985,58.0,66.009186
66.0,66.16382,65.77778,66.23641
66.125,65.99633,64.5,66.02354
67.0,65.79097,65.25,65.760544
67.125,65.79085,67.5,65.84951
64.875,65.397095,64.666664,65.456436
64.25,65.45121,65.25,65.43828
57.285713,65.76615,65.888885,65.846794
66.333336,65.60161,64.75,65.63482
66.75,65.4944,66.125,65.495056
67.888885,65.6079,66.0,65.62008
66.375,65.42865,66.125,65.44125
66.77778,65.46098,67.0,65.463936
68.333336,65.558395,67.125,65.56828
66.0,65.6324,64.875,65.635445
66.0,65.93935,64.25,65.96485
67.42857,66.16835,57.285713,66.18821
63.125,65.99376,66.333336,65.96617
64.875,65.77727,66.75,65.69703
66.44444,65.33165,67.888885,65.19211
66.75,65.82496,66.375,65.8193
65.77778,66.01709,66.77778,66.00941
64.625,66.237625,68.333336,66.31009
67.25,66.466934,66.0,66.48995
66.375,66.49624,66.0,66.49321
66.55556,66.66029,67.42857,66.686264
56.25,66.63125,63.125,66.59924
65.888885,66.54353,64.875,66.48213
66.14286,66.76686,66.44444,66.73857
65.875,66.26219,66.75,66.162605
67.875,66.08215,65.77778,66.024216
66.55556,66.458496,64.625,66.421974
67.375,66.57828,67.25,66.6004
65.888885,66.44447,66.375,66.434135
67.44444,66.18182,66.55556,66.14046
67.75,66.32346,56.25,66.356
66.888885,66.26396,65.888885,66.27548
67.5,66.20286,66.14286,66.18486
67.42857,65.750854,65.875,65.76975
67.0,66.05261,67.875,66.020615
66.125,66.03361,66.55556,66.018265
67.55556,66.0735,67.375,66.06567
66.44444,66.417114,65.888885,66.47652
66.375,66.581436,67.44444,66.56747
66.125,66.676216,67.75,66.66183
67.888885,66.630806,66.888885,66.57184
66.5,66.850555,67.5,66.82169
68.25,66.975296,67.42857,66.93345
66.875,67.04968,67.0,67.00316
67.888885,67.10754,66.125,67.056526
68.14286,67.29766,67.55556,67.23576
66.875,67.329895,66.44444,67.2645
67.25,67.27783,66.375,67.18491
67.111115,67.31825,66.125,67.279396
68.375,67.233795,67.888885,67.16617
68.25,67.18083,66.5,67.096466
68.625,67.04787,68.25,66.952156
68.888885,67.18253,66.875,67.181625
68.25,67.12518,67.888885,67.09996
67.75,67.293015,68.14286,67.28351
68.875,67.31642,66.875,67.274086
67.75,67.400475,67.25,67.36602
69.333336,67.52927,67.111115,67.47466
67.125,67.50893,68.375,67.44549
67.25,67.53457,68.25,67.48078
67.77778,67.49474,68.625,67.42807
68.625,67.66399,68.888885,67.622086
68.75,67.86638,68.25,67.81294
69.125,68.0234,67.75,67.9837
69.22222,68.17595,68.875,68.14208
69.25,68.2701,67.75,68.22154
68.888885,68.24558,69.333336,68.183945
69.0,68.36999,67.125,68.32039
68.0,68.32762,67.25,68.25969
68.375,68.47264,67.77778,68.43211
67.75,68.367676,68.625,68.29246
68.125,68.265236,68.75,68.191895
70.0,68.20475,69.125,68.16766
68.5,68.24399,69.22222,68.22525
69.375,68.371635,69.25,68.3592
69.0,68.46941,68.888885,68.451035
69.125,68.54879,69.0,68.52383
68.77778,68.69308,68.0,68.66177
68.375,68.7372,68.375,68.71279
68.5,68.77878,67.75,68.74376
69.375,68.6925,68.125,68.6413
69.0,68.622,70.0,68.58865
68.75,68.49765,68.5,68.46723
68.666664,68.4079,69.375,68.41731
68.375,68.66714,69.0,68.71971
68.44444,68.65198,69.125,68.68344
69.0,68.76503,68.77778,68.777176
67.888885,68.770584,68.375,68.78208
67.25,68.82621,68.5,68.819534
69.375,68.80748,69.375,68.79798
69.55556,68.687126,69.0,68.682655
67.625,68.594055,68.75,68.61845
68.0,68.7035,68.666664,68.73216
68.55556,68.72946,68.375,68.75248
